1,"AGUASCALIENTES","AGS."
7,"CHIAPAS","CHIS."
10,"DURANGO","DGO."
13,"HIDALGO","HGO."
21,"PUEBLA","PUE."
25,"SINALOA","SIN."
30,"VERACRUZ","VER."
