"seccion","tipo","nombre_municipio","cabecera_distrital_local"
"336","R","AGUASCALIENTES","AGUASCALIENTES"
"337","R","AGUASCALIENTES","AGUASCALIENTES"
"338","M","ASIENTOS","PALO ALTO"
"339","M","ASIENTOS","PALO ALTO"
"340","R","ASIENTOS","PALO ALTO"
"341","M","ASIENTOS","PALO ALTO"
"342","R","ASIENTOS","PALO ALTO"
"343","M","ASIENTOS","PALO ALTO"
"344","R","ASIENTOS","PALO ALTO"
"345","R","ASIENTOS","PALO ALTO"
"346","R","ASIENTOS","PALO ALTO"
"347","R","ASIENTOS","PALO ALTO"
"348","U","ASIENTOS","PALO ALTO"
"349","M","ASIENTOS","PALO ALTO"
"350","R","ASIENTOS","PALO ALTO"
"351","R","ASIENTOS","PALO ALTO"
"352","R","ASIENTOS","PALO ALTO"
"353","R","ASIENTOS","PALO ALTO"
"354","R","ASIENTOS","PALO ALTO"
"355","M","CALVILLO","CALVILLO"
"356","U","CALVILLO","CALVILLO"
"357","M","CALVILLO","CALVILLO"
"358","U","CALVILLO","CALVILLO"
"359","U","CALVILLO","CALVILLO"
"360","U","CALVILLO","CALVILLO"
"361","U","CALVILLO","CALVILLO"
"362","U","CALVILLO","CALVILLO"
"363","U","CALVILLO","CALVILLO"
"364","R","CALVILLO","CALVILLO"
"365","R","CALVILLO","CALVILLO"
"366","R","CALVILLO","CALVILLO"
"367","M","CALVILLO","CALVILLO"
"368","R","CALVILLO","CALVILLO"
"369","R","CALVILLO","CALVILLO"
"370","M","CALVILLO","CALVILLO"
"371","R","CALVILLO","CALVILLO"
"372","R","CALVILLO","CALVILLO"
"373","R","CALVILLO","CALVILLO"
"374","R","CALVILLO","CALVILLO"
"375","U","CALVILLO","CALVILLO"
"376","U","CALVILLO","CALVILLO"
"377","U","CALVILLO","CALVILLO"
"378","R","CALVILLO","CALVILLO"
"379","U","CALVILLO","CALVILLO"
"380","M","CALVILLO","CALVILLO"
"381","R","CALVILLO","CALVILLO"
"382","R","CALVILLO","CALVILLO"
"383","M","CALVILLO","CALVILLO"
"384","R","CALVILLO","CALVILLO"
"385","R","CALVILLO","CALVILLO"
"386","R","CALVILLO","CALVILLO"
"387","U","COSIO","RINCON DE ROMOS"
"388","M","COSIO","RINCON DE ROMOS"
"389","R","COSIO","RINCON DE ROMOS"
"390","M","COSIO","RINCON DE ROMOS"
"391","R","COSIO","RINCON DE ROMOS"
"392","M","JESUS MARIA","JESUS MARIA"
"393","U","JESUS MARIA","JESUS MARIA"
"394","U","JESUS MARIA","JESUS MARIA"
"395","U","JESUS MARIA","JESUS MARIA"
"396","U","JESUS MARIA","JESUS MARIA"
"397","U","JESUS MARIA","JESUS MARIA"
"398","R","JESUS MARIA","JESUS MARIA"
"399","R","JESUS MARIA","JESUS MARIA"
"400","M","JESUS MARIA","SAN FRANCISCO DE LOS ROMO"
"401","M","JESUS MARIA","SAN FRANCISCO DE LOS ROMO"
"402","U","JESUS MARIA","SAN FRANCISCO DE LOS ROMO"
"403","U","JESUS MARIA","SAN FRANCISCO DE LOS ROMO"
"404","R","SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO"
"405","M","JESUS MARIA","SAN FRANCISCO DE LOS ROMO"
"406","R","JESUS MARIA","JESUS MARIA"
"407","R","JESUS MARIA","JESUS MARIA"
"408","R","JESUS MARIA","JESUS MARIA"
"409","R","JESUS MARIA","JESUS MARIA"
"410","M","JESUS MARIA","JESUS MARIA"
"411","M","JESUS MARIA","JESUS MARIA"
"412","R","JESUS MARIA","JESUS MARIA"
"413","M","JESUS MARIA","SAN FRANCISCO DE LOS ROMO"
"414","U","JESUS MARIA","JESUS MARIA"
"415","M","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"416","M","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"417","U","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"418","M","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"419","U","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"420","U","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"421","U","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"422","U","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"423","U","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"424","U","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"425","U","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"426","R","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"427","R","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"428","R","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"429","U","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"430","R","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"431","U","RINCON DE ROMOS","RINCON DE ROMOS"
"432","U","RINCON DE ROMOS","RINCON DE ROMOS"
"433","M","RINCON DE ROMOS","RINCON DE ROMOS"
"434","U","RINCON DE ROMOS","RINCON DE ROMOS"
"435","U","RINCON DE ROMOS","RINCON DE ROMOS"
"436","U","RINCON DE ROMOS","RINCON DE ROMOS"
"437","M","RINCON DE ROMOS","RINCON DE ROMOS"
"438","U","RINCON DE ROMOS","RINCON DE ROMOS"
"439","U","RINCON DE ROMOS","RINCON DE ROMOS"
"440","M","RINCON DE ROMOS","RINCON DE ROMOS"
"441","U","RINCON DE ROMOS","RINCON DE ROMOS"
"442","R","RINCON DE ROMOS","RINCON DE ROMOS"
"443","U","RINCON DE ROMOS","RINCON DE ROMOS"
"444","R","RINCON DE ROMOS","RINCON DE ROMOS"
"445","R","RINCON DE ROMOS","RINCON DE ROMOS"
"446","R","RINCON DE ROMOS","RINCON DE ROMOS"
"447","U","RINCON DE ROMOS","RINCON DE ROMOS"
"448","R","RINCON DE ROMOS","RINCON DE ROMOS"
"449","M","RINCON DE ROMOS","RINCON DE ROMOS"
"450","M","RINCON DE ROMOS","RINCON DE ROMOS"
"451","R","RINCON DE ROMOS","RINCON DE ROMOS"
"452","U","SAN JOSE DE GRACIA","RINCON DE ROMOS"
"453","M","SAN JOSE DE GRACIA","RINCON DE ROMOS"
"454","M","SAN JOSE DE GRACIA","RINCON DE ROMOS"
"455","R","SAN JOSE DE GRACIA","RINCON DE ROMOS"
"456","R","SAN JOSE DE GRACIA","RINCON DE ROMOS"
"457","M","SAN JOSE DE GRACIA","RINCON DE ROMOS"
"458","R","SAN JOSE DE GRACIA","RINCON DE ROMOS"
"459","R","SAN JOSE DE GRACIA","RINCON DE ROMOS"
"460","U","TEPEZALA","PABELLON DE ARTEAGA"
"461","U","TEPEZALA","PABELLON DE ARTEAGA"
"462","M","TEPEZALA","PABELLON DE ARTEAGA"
"463","R","TEPEZALA","PABELLON DE ARTEAGA"
"464","R","TEPEZALA","PABELLON DE ARTEAGA"
"465","R","TEPEZALA","PABELLON DE ARTEAGA"
"466","R","TEPEZALA","PABELLON DE ARTEAGA"
"467","R","TEPEZALA","PABELLON DE ARTEAGA"
"468","R","TEPEZALA","PABELLON DE ARTEAGA"
"469","U","TEPEZALA","PABELLON DE ARTEAGA"
"470","M","SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO"
"471","U","SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO"
"472","U","SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO"
"473","M","SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO"
"474","R","SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO"
